iter	Passed	Remaining
0	1	185
1	3	160
2	4	148
3	5	134
4	6	131
5	8	128
6	9	126
7	10	121
8	11	117
9	12	113
10	13	110
11	14	108
12	15	105
13	16	104
14	18	102
15	19	99
16	20	98
17	21	96
18	22	94
19	23	93
20	24	92
21	25	90
22	26	89
23	27	87
24	28	85
25	29	84
26	30	83
27	31	81
28	32	80
29	33	79
30	34	77
31	35	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	43	70
38	44	68
39	44	67
40	46	66
41	46	64
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	41
62	68	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	74	32
70	75	31
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	14
86	92	13
87	93	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
